Connections,Num Followers,Internacional,lenght headline,Headline en Esp?,Tiene Summary?,calidad longitud,Calidad Headline,_ID,Tiene Projects?,Tiene Certif?,tiene Courses?,Tiene Volunteer?,Tiene Lastest Exp?,Cluster connections,Categoría School Name,Categoría Degree
871,871,0,79,1,1,0,1,502,0,1,0,0,1,5,3,2
869,885,0,4,1,1,0,1,461,0,1,0,0,1,5,3,2
931,935,1,38,1,1,0,1,1108,0,0,0,0,1,5,3,2
931,935,0,38,1,1,0,1,1145,0,0,0,0,1,5,3,2
855,850,0,19,1,0,0,1,513,0,0,0,0,1,5,3,2
357,359,1,36,1,1,0,1,1160,0,1,0,1,1,2,3,2
609,668,0,40,1,1,0,1,904,0,1,0,0,1,4,3,2
1013,1013,1,45,1,1,0,1,223,0,1,1,1,1,6,3,2
1041,1040,0,77,1,1,0,1,219,0,1,0,1,1,6,3,2
313,313,1,17,1,0,0,1,631,0,0,0,0,1,2,3,2
1075,1071,1,23,1,1,0,1,174,0,1,1,0,1,6,3,2
838,921,1,37,1,1,0,1,480,0,0,0,0,1,5,3,2
827,826,0,14,1,1,0,1,541,0,1,0,1,1,5,3,2
761,773,1,63,1,1,0,1,377,0,0,0,0,1,4,3,2
830,828,1,26,1,0,0,1,539,0,1,0,1,1,5,3,2
934,998,1,70,1,1,0,1,237,0,0,0,0,1,5,3,2
1190,1212,1,45,1,0,0,1,975,0,0,0,0,1,6,3,2
980,993,1,63,1,1,0,1,1051,0,1,0,0,1,5,3,2
659,658,1,65,1,0,0,1,931,0,1,0,0,1,4,3,2
975,981,1,28,1,1,0,1,1079,0,0,1,0,1,5,3,2
999,999,0,51,1,0,0,1,236,0,0,0,0,1,5,3,2
379,380,0,53,1,1,0,1,52,0,0,1,0,1,2,3,2
628,630,0,50,1,1,0,1,402,0,0,0,0,1,4,3,2
1120,1116,1,14,1,1,0,1,154,0,1,0,0,1,6,3,2
321,321,0,61,1,1,0,1,553,0,1,1,1,1,2,3,2
640,659,0,50,1,1,0,1,910,0,1,1,0,1,4,3,2
870,1137,1,32,1,1,0,1,1033,0,1,0,0,1,5,3,2
903,940,1,99,1,1,0,1,1132,0,1,0,1,1,5,3,2
833,843,0,79,1,1,0,1,508,0,0,1,0,1,5,3,2
391,393,1,67,1,1,0,1,1162,0,1,0,1,1,2,3,2
639,641,1,81,1,0,0,1,421,0,0,0,0,1,4,3,2
363,362,1,96,1,0,0,1,135,0,0,1,1,1,2,3,2
936,936,1,67,1,1,0,1,458,0,1,0,1,1,5,3,2
310,311,1,42,1,0,0,1,599,0,0,0,0,1,2,3,2
920,934,1,31,1,0,0,1,1100,0,0,0,0,1,5,3,2
864,865,1,27,1,1,0,1,485,0,1,1,0,1,5,3,2
364,367,0,15,1,0,0,1,110,0,1,0,0,1,2,3,2
1003,1036,1,23,1,1,0,1,198,0,1,0,0,1,6,3,2
917,928,1,27,1,1,0,1,1113,0,0,1,0,1,5,3,2
316,320,1,28,1,0,0,1,592,0,1,0,1,1,2,3,2
966,964,1,23,1,1,0,1,1118,0,0,1,0,1,5,3,2
1004,1089,1,74,1,1,0,1,235,0,1,1,1,1,6,3,2
843,844,0,29,1,1,0,1,528,0,1,0,0,1,5,3,2
1107,1112,1,94,1,1,0,1,162,0,1,0,0,1,6,3,2
976,1006,0,32,1,0,0,1,233,0,0,0,0,1,5,3,2
691,703,0,16,1,1,0,1,898,0,1,1,1,1,4,3,2
340,342,1,29,1,0,0,1,1231,0,1,0,1,1,2,3,2
351,380,1,33,1,1,0,1,1240,0,0,0,0,1,2,3,2
667,1402,0,80,1,1,0,1,1274,0,0,0,0,1,4,3,2
1155,1580,1,24,1,0,0,1,1285,0,1,0,1,1,6,3,2
351,426,1,34,1,1,0,1,1516,0,1,1,0,1,2,3,2
399,407,1,36,1,0,0,1,1530,0,1,0,1,1,2,3,2
399,404,0,45,1,0,0,1,1539,0,1,1,0,1,2,3,2
613,617,1,33,1,1,0,1,1557,0,0,0,1,1,4,3,2
603,602,1,66,1,0,0,1,1630,0,0,0,0,1,4,3,2
395,398,1,41,1,0,0,1,1683,0,0,0,0,1,2,3,2
391,392,0,93,1,1,0,1,1696,0,0,1,1,1,2,3,2
397,403,1,48,1,0,0,1,1701,0,0,0,0,1,2,3,2
387,388,0,41,1,0,0,1,1718,0,0,0,0,1,2,3,2
812,826,0,58,1,1,0,1,1748,0,0,0,0,1,5,3,2
809,810,1,33,1,1,0,1,1753,0,1,0,0,1,5,3,2
804,796,1,34,1,1,0,1,1773,0,1,0,0,1,5,3,2
793,793,1,85,1,1,0,1,1778,0,1,1,0,1,4,3,2
794,874,1,98,1,1,0,1,1787,0,1,0,1,1,4,3,2
773,786,1,1,1,1,0,1,1790,0,1,1,1,1,4,3,2
806,799,1,38,1,0,0,1,1793,0,0,0,0,1,5,3,2
