nombre,url,precio,producto_id
Muslo de Pollo La Granja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671236/muslo-de-pollo-la-granja-kg,Bs. 27.50,671236
Muslo de Ala de Pollo kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671240/muslo-de-ala-de-pollo-kg,Bs. 32.00,671240
Pierna de Pollo La Granja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671235/pierna-de-pollo-la-granja-kg,Bs. 27.50,671235
Carne Para Sopa kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835767/carne-para-sopa-kg,Bs. 45.50,835767
Lomo Parrillero kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/670238/lomo-parrillero-kg,Bs. 66.00,670238
Pierna Muslo Sofia de Pollo Deshuesado Bandeja,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672654/pierna-muslo-sofia-de-pollo-deshuesado-bandeja,Bs. 39.70,672654
Punta de Paleta 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835450/punta-de-paleta-1-kg,Bs. 53.00,835450
Higado Inducarne kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/404023/higado-inducarne-kg,Bs. 21.20,404023
Grueso de Azotillo kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835405/grueso-de-azotillo-kg,Bs. 44.50,835405
Panza de Res Inducarne kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/404025/panza-de-res-inducarne-kg,Bs. 30.50,404025
Riñon de Res Inducarne un,/cochabamba/hipermaxi-juan-de-la-rosa/producto/404024/rinon-de-res-inducarne-un,Bs. 23.50,404024
Corazon de Res Inducarne kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/404029/corazon-de-res-inducarne-kg,Bs. 26.00,404029
Colita de Cuadril kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835292/colita-de-cuadril-kg,Bs. 77.00,835292
Charkitos Clasico Con Maiz 50 gr,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671532/charkitos-clasico-con-maiz-50-gr,Bs. 16.50,671532
Pollo Frial Entero Sofia kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/076015/pollo-frial-entero-sofia-kg,Bs. 13.00,076015
Librillo de Res Inducarne kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/404026/librillo-de-res-inducarne-kg,Bs. 29.40,404026
Chinchulises Inducarne kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/404031/chinchulises-inducarne-kg,Bs. 17.60,404031
Cowboy Steak kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/851363/cowboy-steak-kg,Bs. 75.00,851363
Cola de Res kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/676859/cola-de-res-kg,Bs. 29.00,676859
Cuadrada kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835316/cuadrada-kg,Bs. 65.00,835316
Milanesa de Pollo Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/168270/milanesa-de-pollo-hipermaxi-kg,Bs. 50.00,168270
